ID,Video Title,Views,Likes,Dislikes,Clickbait,Transcript
ZZtYAOpHVYk,10 Real Life GIANTS,9244943,64025,6508,1,"10 real-life giants, including individuals like Sajad Gharibi, Andre the Giant, and Yao Ming."
8Iuvf4_NMF4,15 Biggest Animals You Won't Believe Actually Exist!,8380807,48083,5299,1,"15 of the biggest animals, including the giant Gippsland earthworm, freshwater stingray, Japanese spider crab, and Asian giant hornet."
4TiITQDPClI,THESE GLASSES CURED MY COLORBLINDNESS!,29804390,2323366,280267,1,"A colorblind YouTuber receives glasses that cure his color blindness, leading to an emotional experience as he sees colors for the first time, sharing the moment with his audience."
k1TkanTFMYc,CRAZY Roller Coasters YOU WONT BELIEVE EXIST !,14056313,100767,4691,1,"A commentary on various terrifying amusement park rides, from roller coasters with extreme drops and spins to pedal-powered contraptions posing as rides, highlighting the thrill and fear they evoke, along with cautionary tales of malfunctioning attractions."
jPiPvAafhPU,LUCKY PEOPLE Who Avoided VERY CLOSE CALLS,13431007,136547,6835,1,"A compilation of instances where people narrowly avoided disasters, ranging from ziplining harnesses breaking to almost drinking insect spray, with humorous commentary on each scenario."
taXDBwLOWg8,Overnight in the World's Loneliest House,735215,40928,433,1,"A daring journey to Iceland's loneliest house, accompanied by locals Bjarni and Ragnar, involved treacherous seas and mountain climbing. Despite the isolated location, the house isn't entirely alone—it serves as a base for bird scientists studying puffins, and it's equipped with essentials for survival, making it less lonely than rumored."
DluffFWv740,SHARK ATTACK PRANK (WIFE FREAKOUT),16374862,403932,37284,1,"A day in the life of a vlogger, featuring workouts, a Lamborghini discovery, a modeling audition, and a parasailing surprise, culminating in a celebration for reaching nine million subscribers and a plug for merch and subscriptions."
oURjAOHF9HY,Destroying Friendships with the Minecraft Gravity Mod,5427054,709329,2206,0,"A group of friends play a Minecraft mod where gravity is altered, causing humorous and challenging gameplay as they attempt to beat the game while dealing with disorienting perspectives and gravity-defying antics."
cigmdYsgg_4,Can We Become American Ninja Warriors (Daequan and Hamlinz),819705,68459,402,0,"A group of friends taking on a Ninja Warrior challenge with various obstacles. Despite humorous banter and some falls, Billy stands out by completing almost all challenges smoothly, using his height advantage strategically. Despite a few stumbles, the group showcases competitive spirit and camaraderie throughout the challenge."
anhURGwNdpk,"Among Us In Real Life, With ACTUAL Detectives... (Impostor IQ 999)",1379942,33915,12112,1,"A group of YouTubers and real detectives play a live-action game of ""Among Us"" in a space-themed arena. Crewmates complete tasks while impostors try to eliminate them without getting caught. Multiple rounds of detective work and suspenseful discussions lead to thrilling gameplay and unexpected outcomes."
zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",40712459,2390269,24583,0,"A hundred people compete to win $500,000 in a giant circle, enduring challenges and temptations, dwindling down to the final ten who will play tag for the prize in the next part of the video."
Lv4IYZu-A3s,Home surveillance video shows speed of Waverly flooding,308859,3640,134,0,"A man recounting the devastation of flooding in Waverly, emphasizing the rapid rise of water that destroyed homes and claimed lives, including his cousins'. He urges continued support and prayers for those affected as they strive to recover from the tragic events."
H5O5MEcqGBU,BABY # 2 NAME REVEAL! (SUPER EMOTIONAL AND CUTE!),213991,7882,286,0,"A maternity photoshoot in Los Angeles, featuring excitement over the setup and outfits provided by Edson Photography from Texas. The shoot includes different looks, including one with jeans for a name reveal, followed by a beach session capturing moments with family, concluding with a joyful name reveal for their baby girl."
nJfVSMZzudk,"100 People Decide Who Wins $30,000!",10361039,503673,7119,0,"A Minecraft challenge involves eliminating 100 players with different life goals until only two remain, who then face off for a $30,000 prize decided by the eliminated contestants."
M6vNwTQ1n5U,30 BEST PRANKS AND FUNNY TRICKS FOR YOUR FRIENDS,5445997,41468,4664,1,"A person reflects on their troubled situation and their partner's bad reputation, emphasizing their need to maintain a good image despite the circumstances."
IGWJ_wMjlBU,vegan eats MEAT for 24 hours...,344665,24331,639,0,"A pescatarian trying meat after years, starting with a meal at Chili's where they try chicken and steak, experiencing mixed reactions from enjoyment to discomfort, ultimately concluding with a humorous reflection on the experience and a plea to check out their social media."
1V4yCv9viO0,SHE IS PREGNANT!!,6021486,217166,4904,1,A prank where one of the guys pretends to announce his partner's pregnancy.
6G7V4w9bqJY,9 Riddles Only People with High IQ Can Solve,14313990,120202,40688,1,A series of brain-twisting riddles challenge viewers' logic and problem-solving skills.
